Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
93,Florida Gulf Coast,32,15,8,9,5,17,10,5,11,.469,-2.41,-1.96,15,8,9,5,17,10,5,11,15,8,9,5,17,10,5,11,15,8,9,5,17,10,5,11,2306,2306,1290,823,1806,.456,251,672,.374,409,608,.673,366,1038,428,261,125,477,612
94,Florida International,29,8,5,2,5,21,11,9,9,.276,-5.07,-1.10,8,5,2,5,21,11,9,9,8,5,2,5,21,11,9,9,8,5,2,5,21,11,9,9,1836,1951,1175,630,1514,.416,150,447,.336,426,588,.724,317,841,271,216,110,424,586
95,Florida State NCAA,35,25,12,15,5,10,4,2,5,.714,14.53,7.62,25,12,15,5,10,4,2,5,25,12,15,5,10,4,2,5,25,12,15,5,10,4,2,5,2443,2201,1420,877,1923,.456,216,611,.354,473,669,.707,398,1169,427,265,213,550,653
96,Florida NCAA,37,26,10,14,4,11,6,2,7,.703,18.25,7.33,26,10,14,4,11,6,2,7,26,10,14,4,11,6,2,7,26,10,14,4,11,6,2,7,2808,2404,1495,976,2106,.463,357,939,.380,499,700,.713,416,1180,551,233,124,410,575
97,Fordham,29,10,3,9,1,19,13,6,13,.345,-7.63,1.92,10,3,9,1,19,13,6,13,10,3,9,1,19,13,6,13,10,3,9,1,19,13,6,13,1797,2074,1165,663,1729,.383,138,502,.275,333,546,.610,423,991,347,189,163,399,516
98,Fresno State,33,13,3,9,3,20,11,5,12,.394,-0.91,0.77,13,3,9,3,20,11,5,12,13,3,9,3,20,11,5,12,13,3,9,3,20,11,5,12,2170,2181,1355,745,1820,.409,194,617,.314,486,674,.721,353,953,373,235,103,352,637
99,Furman,31,15,8,9,5,16,10,5,10,.484,-6.04,-3.90,15,8,9,5,16,10,5,10,15,8,9,5,16,10,5,10,15,8,9,5,16,10,5,10,2006,2022,1240,681,1646,.414,210,623,.337,434,608,.714,365,971,338,160,104,431,591
100,Gardner-Webb,32,12,6,9,3,20,12,4,15,.375,-7.99,-4.82,12,6,9,3,20,12,4,15,12,6,9,3,20,12,4,15,12,6,9,3,20,12,4,15,2103,2138,1295,749,1804,.415,191,614,.311,414,620,.668,407,1055,376,222,84,447,619
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
101,George Mason,33,24,14,15,7,9,4,1,6,.727,3.81,-1.67,24,14,15,7,9,4,1,6,24,14,15,7,9,4,1,6,24,14,15,7,9,4,1,6,2323,2142,1340,828,1788,.463,156,470,.332,511,732,.698,368,1102,427,224,163,503,650
102,George Washington,31,10,5,6,2,21,11,8,12,.323,-0.63,4.15,10,5,6,2,21,11,8,12,10,5,6,2,21,11,8,12,10,5,6,2,21,11,8,12,1921,2069,1240,733,1725,.425,129,396,.326,326,491,.664,385,929,382,205,115,408,550
103,Georgetown NCAA,33,24,12,15,6,9,6,1,5,.727,16.81,7.69,24,12,15,6,9,6,1,5,24,12,15,6,9,6,1,5,24,12,15,6,9,6,1,5,2278,1959,1340,811,1743,.465,186,536,.347,470,673,.698,367,1108,451,200,156,417,578
104,Georgia Southern,30,15,12,10,4,15,6,2,12,.500,-6.70,-3.78,15,12,10,4,15,6,2,12,15,12,10,4,15,6,2,12,15,12,10,4,15,6,2,12,2002,2033,1215,749,1608,.466,163,464,.351,341,513,.665,278,864,371,228,69,454,581
105,Georgia State,34,22,11,13,8,12,7,3,6,.647,5.69,-2.99,22,11,13,8,12,7,3,6,22,11,13,8,12,7,3,6,22,11,13,8,12,7,3,6,2298,2003,1380,842,1936,.435,178,562,.317,436,665,.656,390,1126,427,315,183,396,546
106,Georgia Tech,31,11,4,7,3,20,12,8,9,.355,1.74,4.13,11,4,7,3,20,12,8,9,11,4,7,3,20,12,8,9,11,4,7,3,20,12,8,9,1866,1940,1245,700,1639,.427,158,507,.312,308,471,.654,340,994,340,161,152,448,513
107,Georgia,32,15,5,11,2,17,11,6,9,.469,5.92,7.95,15,5,11,2,17,11,6,9,15,5,11,2,17,11,6,9,15,5,11,2,17,11,6,9,1950,2015,1295,692,1751,.395,202,647,.312,364,530,.687,348,966,349,199,118,332,554
108,Gonzaga NCAA,33,26,13,15,6,7,3,1,4,.788,13.86,3.25,26,13,15,6,7,3,1,4,26,13,15,6,7,3,1,4,26,13,15,6,7,3,1,4,2436,2086,1325,823,1740,.473,215,567,.379,575,803,.716,359,1095,455,223,105,433,514
109,Grambling,28,4,4,1,3,24,14,9,15,.143,-26.82,-9.39,4,4,1,3,24,14,9,15,4,4,1,3,24,14,9,15,4,4,1,3,24,14,9,15,1513,2001,1125,520,1452,.358,115,417,.276,358,519,.690,277,796,241,135,101,458,461
110,Green Bay,30,15,10,12,3,15,8,2,13,.500,-2.32,1.04,15,10,12,3,15,8,2,13,15,10,12,3,15,8,2,13,15,10,12,3,15,8,2,13,1935,1982,1205,693,1638,.423,165,461,.358,384,544,.706,349,950,369,181,142,424,536
111,Hampton,33,12,6,6,1,21,10,5,13,.364,-10.08,-7.93,12,6,6,1,21,10,5,13,12,6,6,1,21,10,5,13,12,6,6,1,21,10,5,13,2134,2205,1330,746,1853,.403,183,639,.286,459,717,.640,403,1101,352,226,160,467,607
112,Hartford,31,9,7,4,4,22,9,8,12,.290,-13.41,-6.19,9,7,4,4,22,9,8,12,9,7,4,4,22,9,8,12,9,7,4,4,22,9,8,12,1860,2084,1260,654,1580,.414,228,736,.310,324,486,.667,222,796,406,205,64,478,614
113,Harvard NCAA,31,26,12,11,12,5,2,1,3,.839,7.84,-1.56,26,12,11,12,5,2,1,3,26,12,11,12,5,2,1,3,26,12,11,12,5,2,1,3,2033,1724,1245,695,1490,.466,185,518,.357,458,613,.747,262,923,401,184,137,379,473
114,Hawaii,32,16,6,8,3,16,8,7,7,.500,-2.79,-0.52,16,6,8,3,16,8,7,7,16,6,8,3,16,8,7,7,16,6,8,3,16,8,7,7,2356,2387,1295,835,1811,.461,162,501,.323,524,786,.667,379,1082,475,182,104,487,617
115,High Point,31,13,8,10,3,18,10,6,12,.419,-5.92,-4.13,13,8,10,3,18,10,6,12,13,8,10,3,18,10,6,12,13,8,10,3,18,10,6,12,2203,2176,1260,746,1698,.439,263,656,.401,448,654,.685,338,941,389,174,88,386,577
116,Hofstra,32,10,3,8,1,22,15,9,11,.313,-2.98,-1.10,10,3,8,1,22,15,9,11,10,3,8,1,22,15,9,11,10,3,8,1,22,15,9,11,2091,2151,1280,700,1732,.404,155,466,.333,536,747,.718,382,968,389,245,84,442,595
117,Holy Cross,29,15,9,11,4,14,5,3,11,.517,-6.02,-4.23,15,9,11,4,14,5,3,11,15,9,11,4,14,5,3,11,15,9,11,4,14,5,3,11,1886,1938,1160,673,1565,.430,166,489,.339,374,519,.721,289,917,367,167,129,396,512
118,Houston Baptist,30,10,3,9,0,20,7,5,13,.333,-16.07,-6.10,10,3,9,0,20,7,5,13,10,3,9,0,20,7,5,13,10,3,9,0,20,7,5,13,2208,2344,1210,787,1860,.423,153,479,.319,481,704,.683,405,974,373,225,51,470,655
119,Houston,30,15,7,13,1,15,9,5,8,.500,0.04,0.21,15,7,13,1,15,9,5,8,15,7,13,1,15,9,5,8,15,7,13,1,15,9,5,8,2152,2147,1215,795,1714,.464,164,464,.353,398,565,.704,355,1018,398,156,149,435,502
120,Howard,31,10,6,6,3,21,10,5,14,.323,-14.59,-4.16,10,6,6,3,21,10,5,14,10,6,6,3,21,10,5,14,10,6,6,3,21,10,5,14,1881,2174,1245,618,1613,.383,140,439,.319,505,744,.679,388,965,283,189,94,533,691
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
121,Idaho State,30,9,7,5,4,21,9,8,13,.300,-11.05,-2.77,9,7,5,4,21,9,8,13,9,7,5,4,21,9,8,13,9,7,5,4,21,9,8,13,1979,2192,1230,695,1652,.421,193,562,.343,396,579,.684,325,795,359,211,68,421,594
122,Idaho,33,19,9,11,8,14,5,4,8,.576,0.77,-0.43,19,9,11,8,14,5,4,8,19,9,11,8,14,5,4,8,19,9,11,8,14,5,4,8,2298,2240,1330,807,1692,.477,215,549,.392,469,697,.673,328,1039,486,155,135,441,566
123,Illinois-Chicago,30,8,3,7,1,22,15,7,15,.267,-9.16,-1.30,8,3,7,1,22,15,7,15,8,3,7,1,22,15,7,15,8,3,7,1,22,15,7,15,1826,2033,1210,636,1611,.395,193,593,.325,361,539,.670,367,898,341,150,88,439,578
124,Illinois State,35,21,9,14,4,14,9,3,9,.600,6.33,2.64,21,9,14,4,14,9,3,9,21,9,14,4,14,9,3,9,21,9,14,4,14,9,3,9,2439,2310,1425,804,1832,.439,297,783,.379,534,708,.754,309,1117,459,177,118,422,588
125,Illinois,32,17,6,13,2,15,12,4,8,.531,9.33,7.99,17,6,13,2,15,12,4,8,17,6,13,2,15,12,4,8,17,6,13,2,15,12,4,8,2098,2055,1295,767,1741,.441,186,611,.304,378,529,.715,320,950,400,162,132,430,565
126,Indiana State,33,18,8,11,4,15,10,4,9,.545,2.08,3.08,18,8,11,4,15,10,4,9,18,8,11,4,15,10,4,9,18,8,11,4,15,10,4,9,2120,2141,1335,722,1719,.420,201,588,.342,475,659,.721,288,974,397,194,104,403,543
127,Indiana NCAA,36,27,11,18,5,9,7,1,6,.750,18.63,7.80,27,11,18,5,9,7,1,6,27,11,18,5,9,7,1,6,27,11,18,5,9,7,1,6,2782,2392,1440,949,1928,.492,229,531,.431,655,858,.763,383,1130,487,233,115,463,632
128,Iona NCAA,33,25,15,10,11,8,3,1,4,.758,8.36,-1.82,25,15,10,11,8,3,1,4,25,15,10,11,8,3,1,4,25,15,10,11,8,3,1,4,2736,2400,1335,1021,2033,.502,254,656,.387,440,617,.713,353,1042,638,241,71,414,559
129,Iowa State NCAA,34,23,12,16,4,11,6,2,7,.676,13.32,7.32,23,12,16,4,11,6,2,7,23,12,16,4,11,6,2,7,23,12,16,4,11,6,2,7,2490,2286,1360,847,1888,.449,293,786,.373,503,731,.688,371,1173,484,196,96,419,547
130,Iowa,35,18,8,14,3,17,10,6,9,.514,7.04,6.53,18,8,14,3,17,10,6,9,18,8,14,3,17,10,6,9,18,8,14,3,17,10,6,9,2555,2537,1400,902,1984,.455,201,539,.373,550,763,.721,399,1106,521,262,119,433,586
131,Purdue-Fort Wayne,30,11,5,8,3,19,13,5,13,.367,-8.79,-2.05,11,5,8,3,19,13,5,13,11,5,8,3,19,13,5,13,11,5,8,3,19,13,5,13,2100,2242,1205,756,1676,.451,164,497,.330,424,621,.683,316,916,410,188,73,434,593
132,IUPUI,32,14,7,9,3,18,11,5,12,.438,-3.85,-1.75,14,7,9,3,18,11,5,12,14,7,9,3,18,11,5,12,14,7,9,3,18,11,5,12,2319,2329,1295,819,1850,.443,186,525,.354,495,638,.776,385,957,375,218,96,379,556
133,Jackson State,31,7,5,4,2,24,13,7,16,.226,-17.50,-7.00,7,5,4,2,24,13,7,16,7,5,4,2,24,13,7,16,7,5,4,2,24,13,7,16,1737,2042,1260,618,1621,.381,133,407,.327,368,542,.679,364,922,258,224,103,475,598
134,Jacksonville State,33,15,8,9,3,18,8,4,10,.455,-4.86,-5.23,15,8,9,3,18,8,4,10,15,8,9,3,18,8,4,10,15,8,9,3,18,8,4,10,2143,2106,1330,748,1761,.425,144,533,.270,503,742,.678,387,969,399,243,125,443,636
135,Jacksonville,30,8,6,5,3,22,12,6,15,.267,-7.30,0.10,8,6,5,3,22,12,6,15,8,6,5,3,22,12,6,15,8,6,5,3,22,12,6,15,1951,2173,1210,706,1688,.418,151,474,.319,388,591,.657,396,941,363,220,105,449,664
136,James Madison,32,12,5,5,5,20,13,9,9,.375,-5.86,-2.11,12,5,5,5,20,13,9,9,12,5,5,5,20,13,9,9,12,5,5,5,20,13,9,9,2115,2235,1290,748,1774,.422,248,676,.367,371,557,.666,321,906,428,213,83,414,624
137,Kansas State NCAA,33,22,10,11,6,11,8,4,4,.667,14.47,7.53,22,10,11,6,11,8,4,4,22,10,11,6,11,8,4,4,22,10,11,6,11,8,4,4,2343,2114,1335,812,1849,.439,183,546,.335,536,799,.671,471,1129,468,200,156,474,662
138,Kansas NCAA,39,32,16,16,8,7,2,0,2,.821,21.72,9.93,32,16,16,8,7,2,0,2,32,16,16,8,7,2,0,2,32,16,16,8,7,2,0,2,2867,2407,1565,1023,2169,.472,222,643,.345,597,863,.692,449,1368,587,285,222,506,678
139,Kennesaw State,31,3,0,1,1,28,18,11,16,.097,-15.02,-0.49,3,0,1,1,28,18,11,16,3,0,1,1,28,18,11,16,3,0,1,1,28,18,11,16,1920,2330,1265,691,1665,.415,206,604,.341,332,531,.625,309,830,374,192,57,429,533
140,Kent State,33,21,10,12,7,12,6,3,7,.636,2.77,-0.95,21,10,12,7,12,6,3,7,21,10,12,7,12,6,3,7,21,10,12,7,12,6,3,7,2322,2178,1325,830,1836,.452,200,579,.345,462,670,.690,378,1025,487,281,128,463,554
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
141,Kentucky NCAA,40,38,16,18,8,2,0,0,1,.950,24.73,7.93,38,16,18,8,2,0,0,1,38,16,18,8,2,0,0,1,38,16,18,8,2,0,0,1,3095,2423,1600,1096,2248,.488,225,595,.378,678,938,.723,472,1445,531,242,344,445,593
142,La Salle,34,21,9,14,6,13,7,3,8,.618,8.56,1.83,21,9,14,6,13,7,3,8,21,9,14,6,13,7,3,8,21,9,14,6,13,7,3,8,2478,2249,1370,898,1937,.464,265,653,.406,417,578,.721,307,986,496,275,114,443,591
143,Lafayette,31,13,7,6,7,18,7,7,11,.419,-7.20,-4.01,13,7,6,7,18,7,7,11,13,7,6,7,18,7,7,11,13,7,6,7,18,7,7,11,2161,2260,1240,723,1650,.438,283,735,.385,432,566,.763,236,806,385,164,80,391,600
144,Lamar NCAA,35,23,11,12,8,12,5,2,9,.657,2.41,-3.77,23,11,12,8,12,5,2,9,23,11,12,8,12,5,2,9,23,11,12,8,12,5,2,9,2573,2296,1405,902,2087,.432,153,454,.337,616,855,.720,497,1288,448,283,154,418,604
145,Lehigh NCAA,35,27,11,12,12,8,3,1,6,.771,4.27,-5.14,27,11,12,12,8,3,1,6,27,11,12,12,8,3,1,6,27,11,12,12,8,3,1,6,2648,2288,1410,902,2030,.444,254,726,.350,590,768,.768,386,1104,456,269,106,391,629
146,Liberty,32,14,9,9,5,18,9,7,9,.438,-9.67,-4.81,14,9,9,5,18,9,7,9,14,9,9,5,18,9,7,9,14,9,9,5,18,9,7,9,2201,2283,1285,811,1790,.453,125,395,.316,454,637,.713,351,997,439,169,77,386,555
147,Lipscomb,31,13,8,6,5,18,10,7,11,.419,-4.70,-1.23,13,8,6,5,18,10,7,11,13,8,6,5,18,10,7,11,13,8,6,5,18,10,7,11,2242,2303,1260,802,1852,.433,235,637,.369,403,634,.636,367,997,438,225,83,467,536
148,Cal State Long Beach NCAA,34,25,15,12,8,9,1,0,7,.735,9.52,0.87,25,15,12,8,9,1,0,7,25,15,12,8,9,1,0,7,25,15,12,8,9,1,0,7,2510,2175,1370,880,1880,.468,221,618,.358,529,790,.670,391,1141,476,242,92,440,527
149,Long Island University NCAA,34,25,16,15,7,9,2,0,8,.735,-1.34,-5.10,25,16,15,7,9,2,0,8,25,16,15,7,9,2,0,8,25,16,15,7,9,2,0,8,2769,2641,1365,920,1940,.474,225,606,.371,704,965,.730,396,1167,500,206,113,546,531
150,Longwood,31,10,0,7,2,21,0,5,14,.323,-20.47,-5.99,10,0,7,2,21,0,5,14,10,0,7,2,21,0,5,14,10,0,7,2,21,0,5,14,2276,2617,1245,826,1905,.434,265,759,.349,359,531,.676,292,960,481,163,68,410,495
151,Louisiana,32,16,10,10,5,16,6,5,9,.500,-3.25,-2.28,16,10,10,5,16,6,5,9,16,10,10,5,16,6,5,9,16,10,10,5,16,6,5,9,2189,2155,1305,767,1790,.428,172,525,.328,483,766,.631,387,1134,370,188,150,521,644
152,Louisiana-Monroe,29,3,2,0,3,26,14,13,13,.103,-12.56,-0.95,3,2,0,3,26,14,13,13,3,2,0,3,26,14,13,13,3,2,0,3,26,14,13,13,1750,2078,1165,637,1555,.410,188,516,.364,288,441,.653,261,797,331,157,66,378,512
153,Louisiana State,33,18,7,11,4,15,9,4,9,.545,6.66,5.51,18,7,11,4,15,9,4,9,18,7,11,4,15,9,4,9,18,7,11,4,15,9,4,9,2157,2119,1340,791,1947,.406,173,530,.326,402,582,.691,434,1094,415,232,128,429,592
154,Louisiana Tech,34,18,6,11,4,16,8,4,10,.529,-2.65,-1.19,18,6,11,4,16,8,4,10,18,6,11,4,16,8,4,10,18,6,11,4,16,8,4,10,2358,2355,1380,849,2013,.422,258,777,.332,402,620,.648,396,1040,441,230,125,442,677
155,Louisville NCAA,40,30,10,16,6,10,8,4,5,.750,16.19,9.02,30,10,16,6,10,8,4,5,30,10,16,6,10,8,4,5,30,10,16,6,10,8,4,5,2727,2440,1620,963,2281,.422,233,733,.318,568,826,.688,518,1423,532,353,193,562,706
156,Loyola (IL),30,7,1,4,3,23,17,9,14,.233,-8.43,-1.77,7,1,4,3,23,17,9,14,7,1,4,3,23,17,9,14,7,1,4,3,23,17,9,14,1717,1887,1215,612,1452,.421,117,377,.310,376,540,.696,301,825,368,136,42,432,491
157,Loyola Marymount,34,21,11,12,9,13,5,8,4,.618,2.20,1.17,21,11,12,9,13,5,8,4,21,11,12,9,13,5,8,4,21,11,12,9,13,5,8,4,2402,2301,1380,825,1936,.426,221,639,.346,531,720,.738,395,1104,404,253,102,462,596
158,Loyola (MD) NCAA,33,24,13,10,11,9,5,2,6,.727,0.37,-2.72,24,13,10,11,9,5,2,6,24,13,10,11,9,5,2,6,24,13,10,11,9,5,2,6,2222,2120,1320,755,1775,.425,164,484,.339,548,762,.719,430,1044,393,255,147,443,628
159,Maine,29,12,6,7,5,17,10,6,10,.414,-8.57,-6.54,12,6,7,5,17,10,6,10,12,6,7,5,17,10,6,10,12,6,7,5,17,10,6,10,1989,1982,1175,750,1696,.442,169,518,.326,320,437,.732,317,925,408,178,125,380,539
160,Manhattan,34,21,12,9,10,13,6,4,8,.618,1.46,-4.13,21,12,9,10,13,6,4,8,21,12,9,10,13,6,4,8,21,12,9,10,13,6,4,8,2420,2230,1370,815,1865,.437,244,676,.361,546,750,.728,419,1116,498,269,169,547,694
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
161,Marist,32,14,7,10,2,18,11,4,12,.438,-8.20,-3.29,14,7,10,2,18,11,4,12,14,7,10,2,18,11,4,12,14,7,10,2,18,11,4,12,2176,2333,1290,721,1733,.416,203,569,.357,531,734,.723,347,964,385,187,140,481,520
162,Marquette NCAA,35,27,14,15,6,8,4,1,5,.771,16.92,7.50,27,14,15,6,8,4,1,5,27,14,15,6,8,4,1,5,27,14,15,6,8,4,1,5,2638,2308,1400,919,2033,.452,201,596,.337,599,831,.721,414,1149,580,304,122,461,620
163,Marshall,35,21,9,13,5,14,7,3,9,.600,7.00,4.94,21,9,13,5,14,7,3,9,21,9,13,5,14,7,3,9,21,9,13,5,14,7,3,9,2472,2383,1425,895,2052,.436,203,649,.313,479,780,.614,542,1268,444,213,132,458,708
164,Maryland-Baltimore County,30,4,3,1,3,26,13,11,14,.133,-19.85,-6.02,4,3,1,3,26,13,11,14,4,3,1,3,26,13,11,14,4,3,1,3,26,13,11,14,1897,2312,1215,686,1753,.391,152,512,.297,373,564,.661,367,919,309,175,54,439,630
165,Maryland-Eastern Shore,30,7,4,5,2,23,12,6,14,.233,-16.79,-4.72,7,4,5,2,23,12,6,14,7,4,5,2,23,12,6,14,7,4,5,2,23,12,6,14,1785,2109,1210,644,1695,.380,154,555,.277,343,538,.638,412,997,317,178,87,522,599
166,Maryland,32,17,6,13,1,15,10,4,7,.531,3.95,5.98,17,6,13,1,15,10,4,7,17,6,13,1,15,10,4,7,17,6,13,1,15,10,4,7,2198,2263,1295,743,1747,.425,173,510,.339,539,812,.664,388,1081,339,137,139,425,563
167,Massachusetts,37,25,9,15,7,12,7,1,7,.676,7.49,2.97,25,9,15,7,12,7,1,7,25,9,15,7,12,7,1,7,25,9,15,7,12,7,1,7,2847,2680,1500,1016,2341,.434,288,825,.349,527,783,.673,499,1302,565,326,176,548,759
168,McNeese State,33,17,10,9,6,16,6,4,11,.515,-6.26,-3.76,17,10,9,6,16,6,4,11,17,10,9,6,16,6,4,11,17,10,9,6,16,6,4,11,2207,2185,1325,804,1904,.422,173,539,.321,426,631,.675,412,1101,349,222,120,402,585
169,Memphis NCAA,35,26,13,18,7,9,3,2,4,.743,16.86,5.26,26,13,18,7,9,3,2,4,26,13,18,7,9,3,2,4,26,13,18,7,9,3,2,4,2614,2208,1415,933,1899,.491,185,511,.362,563,785,.717,332,1093,505,278,196,444,665
170,Mercer,38,27,13,15,12,11,5,3,8,.711,3.75,-1.44,27,13,15,12,11,5,3,8,27,13,15,12,11,5,3,8,27,13,15,12,11,5,3,8,2589,2388,1530,899,1968,.457,264,730,.362,527,734,.718,389,1182,519,259,181,566,722
171,Miami (FL),33,20,9,14,4,13,7,4,8,.606,10.75,6.17,20,9,14,4,13,7,4,8,20,9,14,4,13,7,4,8,20,9,14,4,13,7,4,8,2332,2181,1350,814,1890,.431,250,714,.350,454,630,.721,372,1043,392,210,118,382,539
172,Miami (OH),30,9,5,7,2,21,11,7,13,.300,-2.07,1.93,9,5,7,2,21,11,7,13,9,5,7,2,21,11,7,13,9,5,7,2,21,11,7,13,1821,1927,1210,639,1472,.434,220,619,.355,323,463,.698,251,813,351,165,72,406,504
173,Michigan State NCAA,37,29,13,17,7,8,5,1,4,.784,21.32,9.82,29,13,17,7,8,5,1,4,29,13,17,7,8,5,1,4,29,13,17,7,8,5,1,4,2651,2195,1485,960,2012,.477,200,555,.360,531,759,.700,420,1302,566,265,157,474,650
174,Michigan NCAA,34,24,13,15,5,10,5,1,6,.706,13.19,8.98,24,13,15,5,10,5,1,6,24,13,15,5,10,5,1,6,24,13,15,5,10,5,1,6,2255,2090,1375,808,1777,.455,276,788,.350,363,503,.722,291,967,431,168,72,370,530
175,Middle Tennessee,34,27,14,15,11,7,2,2,4,.794,8.69,-0.13,27,14,15,11,7,2,2,4,27,14,15,11,7,2,2,4,27,14,15,11,7,2,2,4,2459,2128,1370,882,1782,.495,163,445,.366,532,838,.635,376,1101,525,238,150,473,670
176,Milwaukee,34,20,11,13,7,14,7,3,10,.588,0.53,0.06,20,11,13,7,14,7,3,10,20,11,13,7,14,7,3,10,20,11,13,7,14,7,3,10,2183,2126,1365,748,1792,.417,264,764,.346,423,691,.612,377,1052,426,209,87,467,582
177,Minnesota,38,23,6,13,6,15,12,6,6,.605,10.70,7.89,23,6,13,6,15,12,6,6,23,6,13,6,15,12,6,6,23,6,13,6,15,12,6,6,2569,2462,1555,915,1979,.462,203,571,.356,536,769,.697,435,1184,573,269,186,558,703
178,Mississippi State,33,21,8,15,3,12,8,4,6,.636,9.13,4.86,21,8,15,3,12,8,4,6,21,8,15,3,12,8,4,6,21,8,15,3,12,8,4,6,2377,2236,1350,854,1880,.454,233,653,.357,436,614,.710,359,1118,441,198,116,396,457
179,Mississippi Valley State NCAA,34,21,17,9,8,13,1,0,11,.618,-8.03,-7.65,21,17,9,8,13,1,0,11,21,17,9,8,13,1,0,11,21,17,9,8,13,1,0,11,2332,2345,1375,812,2025,.401,252,777,.324,456,708,.644,460,1156,451,300,87,511,698
180,Mississippi,34,20,8,12,4,14,8,3,8,.588,6.53,5.80,20,8,12,4,14,8,3,8,20,8,12,4,14,8,3,8,20,8,12,4,14,8,3,8,2275,2250,1395,820,1896,.432,149,471,.316,486,806,.603,444,1190,380,225,178,485,612
,,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Overall,Overall,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Overall,Conf.,Home,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,W,W,W,L,L,L,L,W-L%,SRS,SOS,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,W,W,W,W,L,L,L,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
181,Missouri-Kansas City,31,10,4,6,2,21,14,8,13,.323,-8.82,-1.75,10,4,6,2,21,14,8,13,10,4,6,2,21,14,8,13,10,4,6,2,21,14,8,13,1998,2204,1250,699,1621,.431,256,679,.377,344,495,.695,258,774,380,190,74,412,589
182,Missouri State,32,16,9,8,8,16,9,7,6,.500,6.15,3.92,16,9,8,8,16,9,7,6,16,9,8,8,16,9,7,6,16,9,8,8,16,9,7,6,2110,2015,1305,775,1778,.436,186,549,.339,372,516,.721,294,1029,433,148,66,338,592
