G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
28,16,12,.571,10,4,5,8,1842,1789,645,1406,.459,200,497,.402,352,478,.736,914,377,153,42,410,552
31,17,14,.548,15,5,2,8,2181,1938,760,1797,.423,147,458,.321,514,818,.628,1311,400,240,264,466,544
32,12,20,.375,7,3,3,16,1972,2256,696,1755,.397,165,569,.290,415,639,.649,995,304,207,67,441,611
28,16,12,.571,8,5,7,7,1856,1792,641,1371,.468,198,500,.396,376,501,.750,882,367,161,89,415,484
33,22,11,.667,12,2,5,8,2220,2011,740,1662,.445,205,607,.338,535,710,.754,1080,441,210,83,417,552
27,9,18,.333,6,7,3,11,1591,1816,599,1433,.418,117,398,.294,276,393,.702,788,305,176,92,354,549
34,29,5,.853,13,1,10,3,2765,2336,969,2157,.449,328,888,.369,499,663,.753,1378,559,272,91,495,602
31,19,12,.613,15,2,2,9,2075,2051,737,1654,.446,196,515,.381,405,583,.695,1024,384,146,90,438,604
34,21,13,.618,8,1,10,10,2031,1998,712,1625,.438,217,646,.336,390,527,.740,943,397,205,95,413,539
31,5,26,.161,3,11,1,13,1874,2164,639,1580,.404,194,589,.329,402,560,.718,890,334,169,75,400,573
29,4,25,.138,4,10,0,15,1855,2194,627,1572,.399,211,600,.352,390,540,.722,940,348,140,41,434,495
34,20,14,.588,14,2,5,9,2300,2152,863,1885,.458,218,631,.345,356,536,.664,1205,484,200,154,397,555
30,11,19,.367,6,6,4,13,1913,2002,703,1599,.440,181,554,.327,326,500,.652,996,382,171,69,382,535
32,17,15,.531,11,4,2,8,2398,2374,820,1822,.450,194,589,.329,564,794,.710,1166,489,254,91,440,567
32,23,9,.719,9,4,13,5,2127,1939,725,1644,.441,180,543,.331,497,724,.686,1082,396,267,159,441,582
33,22,11,.667,15,4,5,4,2323,2047,822,1754,.469,198,520,.381,481,698,.689,1165,433,241,157,509,577
29,10,19,.345,5,9,5,9,2271,2450,805,1833,.439,239,722,.331,422,568,.743,940,465,217,102,433,566
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
30,6,24,.200,5,9,1,14,1779,2025,635,1599,.397,192,602,.319,317,548,.578,1026,370,184,82,421,554
34,24,10,.706,15,2,8,7,2486,2287,905,1984,.456,209,603,.347,467,648,.721,1242,540,338,158,571,679
30,10,20,.333,7,7,3,11,1832,1988,648,1587,.408,139,432,.322,397,547,.726,1030,358,167,58,416,566
33,21,12,.636,11,3,8,8,2151,2089,782,1691,.462,264,758,.348,323,475,.680,930,477,263,84,446,449
32,13,19,.406,9,6,3,9,2039,2207,699,1664,.420,241,671,.359,400,583,.686,1049,374,220,59,570,632
29,15,14,.517,10,3,5,11,2443,2394,846,1708,.495,190,563,.337,561,762,.736,1010,514,207,90,446,560
30,7,23,.233,3,9,3,12,1874,2112,684,1642,.417,179,541,.331,327,483,.677,1002,334,188,81,436,575
31,14,17,.452,10,5,4,11,2131,2113,703,1539,.457,228,573,.398,497,678,.733,959,429,148,79,399,598
32,13,19,.406,7,8,5,10,1996,2070,677,1652,.410,183,562,.326,459,648,.708,1025,409,223,99,472,613
30,14,16,.467,6,7,7,9,2193,2254,784,1826,.429,195,604,.323,430,619,.695,1075,389,190,102,400,531
35,21,14,.600,11,2,6,9,2467,2467,846,1881,.450,209,581,.360,566,855,.662,1291,477,245,63,623,648
31,16,15,.516,11,2,5,12,2321,2419,834,1706,.489,191,519,.368,462,666,.694,1024,475,208,60,476,628
