G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
32,18,14,.563,10,3,6,10,2224,2225,1290,784,1766,.444,162,529,.306,494,675,.732,367,1110,423,224,92,497,602
29,6,23,.207,3,9,3,14,1741,1966,1165,616,1519,.406,158,472,.335,351,539,.651,331,1011,365,202,141,481,528
31,15,16,.484,11,5,2,9,2227,2197,1240,820,1961,.418,216,675,.320,371,571,.650,411,1078,306,269,188,382,549
30,14,16,.467,9,5,5,7,2227,2197,1210,721,1710,.422,212,574,.369,573,769,.745,363,1061,351,166,67,364,554
32,22,10,.688,12,2,6,7,2543,2346,1285,886,1865,.475,244,652,.374,527,794,.664,297,1210,536,222,163,463,447
33,20,13,.606,11,5,4,6,2226,2176,1330,775,1757,.441,133,470,.283,543,796,.682,384,1170,392,205,117,415,563
30,7,23,.233,4,10,2,12,1927,2172,1221,662,1621,.408,175,498,.351,428,656,.652,334,1026,335,178,73,465,654
31,19,12,.613,14,1,4,9,2255,2074,1250,795,1667,.477,209,539,.388,456,648,.704,288,1042,442,231,178,460,614
30,16,14,.533,11,5,2,9,1789,1715,1210,662,1551,.427,107,360,.297,358,550,.651,331,1047,282,171,132,434,531
28,5,23,.179,2,9,2,14,1739,2122,1120,612,1565,.391,168,534,.315,347,494,.702,258,914,337,146,69,409,555
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
30,15,15,.500,10,5,3,9,2104,2026,1210,740,1614,.458,204,563,.362,420,608,.691,300,978,411,192,83,405,629
31,14,17,.452,10,7,4,6,2053,1998,1240,710,1554,.457,183,521,.351,450,643,.700,315,1032,333,176,76,425,518
34,20,14,.588,11,3,6,8,2200,2034,1360,758,1821,.416,155,478,.324,529,733,.722,444,1285,326,179,121,432,614
29,7,22,.241,6,8,0,13,1861,2125,1175,660,1498,.441,130,368,.353,411,566,.726,294,1012,340,165,112,528,585
