G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,7,25,.219,5,9,1,15,2280,2673,809,1953,.414,270,808,.334,392,576,.681,1051,446,208,37,451,575
38,34,4,.895,14,1,8,2,3413,2735,1205,2509,.480,264,682,.387,739,983,.752,1594,685,325,196,472,608
33,26,7,.788,12,1,10,4,2659,2279,943,1936,.487,238,578,.412,535,724,.739,1171,486,230,108,370,539
30,8,22,.267,6,6,2,14,1697,2095,629,1558,.404,134,405,.331,305,515,.592,933,327,192,75,459,593
32,20,12,.625,12,4,7,6,2472,2390,806,1850,.436,212,592,.358,648,885,.732,1195,391,166,89,413,676
32,19,13,.594,7,5,11,7,2001,1932,685,1580,.434,185,544,.340,446,609,.732,989,371,236,87,402,554
27,8,19,.296,7,5,1,14,1795,1829,678,1410,.481,165,466,.354,274,444,.617,844,413,199,65,399,468
32,14,18,.438,10,4,3,13,2259,2266,751,1638,.458,226,563,.401,531,734,.723,1032,397,219,53,494,627
30,10,20,.333,7,5,2,11,1985,2123,704,1668,.422,185,533,.347,392,662,.592,1060,373,239,94,481,610
34,23,11,.676,11,4,8,4,2290,2158,766,1692,.453,217,628,.346,541,718,.753,1140,418,146,83,397,619
31,11,20,.355,6,7,3,12,2188,2475,780,1934,.403,164,561,.292,464,713,.651,1272,421,269,168,599,701
31,17,14,.548,13,4,4,9,1967,1876,697,1568,.445,255,661,.386,318,461,.690,877,472,225,89,346,554
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
36,21,15,.583,15,3,3,8,2727,2544,988,2283,.433,319,802,.398,432,609,.709,1404,601,192,95,343,544
36,23,13,.639,12,0,7,10,2699,2546,962,2008,.479,267,719,.371,508,728,.698,1224,545,217,167,456,602
33,22,11,.667,15,3,4,7,2206,2046,778,1618,.481,216,576,.375,434,619,.701,1024,440,194,175,439,501
32,15,17,.469,11,2,2,13,2075,2080,709,1634,.434,208,573,.363,449,639,.703,990,436,222,59,459,645
35,23,12,.657,14,2,4,6,2830,2608,948,2059,.460,327,851,.384,607,812,.748,1223,446,266,82,431,745
36,30,6,.833,16,1,7,3,2833,2430,982,1997,.492,242,689,.351,627,929,.675,1402,521,249,156,500,616
35,25,10,.714,16,3,8,7,2333,2110,877,1978,.443,168,515,.326,411,643,.639,1332,542,252,122,430,516
31,16,15,.516,9,2,6,10,2194,2058,776,1752,.443,167,536,.312,475,712,.667,1121,397,220,94,439,599
36,18,18,.500,13,7,5,10,2189,2279,805,1725,.467,222,624,.356,357,553,.646,1038,465,242,68,477,557
31,8,23,.258,6,9,1,10,2088,2360,702,1751,.401,237,662,.358,447,664,.673,973,372,243,96,459,642
34,21,13,.618,12,4,7,8,2254,2120,794,1712,.464,243,631,.385,423,623,.679,1092,465,211,68,413,587
38,27,11,.711,17,3,6,7,2545,2378,904,2040,.443,282,780,.362,455,691,.658,1290,493,192,64,412,551
28,10,18,.357,3,11,6,7,1835,1935,633,1521,.416,166,529,.314,403,591,.682,931,402,192,85,398,602
32,9,23,.281,5,10,2,11,1974,2342,717,1857,.386,171,543,.315,369,524,.704,1143,341,215,101,508,574
36,31,5,.861,19,0,7,2,2787,2320,1040,2174,.478,225,640,.352,482,713,.676,1433,633,246,139,436,585
33,23,10,.697,13,1,7,7,2417,2262,861,1899,.453,317,835,.380,378,557,.679,1116,503,245,93,453,553
32,19,13,.594,12,2,5,10,2249,2154,803,1727,.465,256,613,.418,387,579,.668,1071,492,179,71,454,652
33,17,16,.515,11,2,5,12,2318,2235,832,1932,.431,192,590,.325,462,731,.632,1237,422,249,80,480,616
29,12,17,.414,9,2,3,14,1729,1867,608,1435,.424,165,525,.314,348,517,.673,948,305,203,87,483,514
27,13,14,.481,8,6,5,8,1561,1545,548,1276,.429,185,496,.373,280,372,.753,822,302,156,79,354,521
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
33,19,14,.576,13,5,4,6,2577,2531,905,2014,.449,227,708,.321,540,795,.679,1238,490,261,119,479,545
37,27,10,.730,18,3,5,5,2555,2212,914,2071,.441,244,704,.347,483,687,.703,1271,552,265,176,426,650
31,15,16,.484,6,7,9,7,2058,2088,758,1757,.431,139,438,.317,403,649,.621,1180,379,205,77,448,571
33,21,12,.636,12,5,9,6,2491,2372,884,1917,.461,163,463,.352,560,825,.679,1372,466,225,154,539,607
34,23,11,.676,12,2,10,7,2696,2469,994,2072,.480,215,548,.392,493,707,.697,1235,543,257,120,454,597
32,10,22,.313,5,10,2,11,2040,2273,717,1690,.424,218,570,.382,388,563,.689,1021,443,153,70,425,590
36,20,16,.556,11,7,7,7,2518,2431,912,1998,.456,246,718,.343,448,662,.677,1119,434,262,124,432,707
32,19,13,.594,11,4,7,8,2303,2271,830,1874,.443,225,638,.353,418,620,.674,1157,417,230,116,446,605
35,24,11,.686,14,3,9,7,2467,2288,880,1859,.473,226,573,.394,481,683,.704,1161,536,301,121,530,693
32,11,21,.344,8,10,3,10,2021,2131,725,1748,.415,167,565,.296,404,562,.719,1176,355,191,189,495,563
29,2,27,.069,2,11,0,16,1652,2100,574,1433,.401,153,424,.361,351,507,.692,830,298,129,46,420,522
31,17,14,.548,10,4,7,10,2277,2167,857,1772,.484,241,611,.394,322,460,.700,1040,520,240,118,493,546
29,6,23,.207,4,8,2,15,1771,2041,618,1450,.426,167,514,.325,368,503,.732,900,391,177,56,463,566
32,17,15,.531,7,6,8,6,2184,2120,757,1722,.440,162,485,.334,508,692,.734,1104,472,207,119,429,538
32,18,14,.563,14,3,2,9,1977,1944,689,1605,.429,171,503,.340,428,617,.694,1038,377,154,80,403,526
35,28,7,.800,15,1,8,4,2569,2243,898,2027,.443,231,696,.332,542,781,.694,1389,471,255,172,437,563
30,11,19,.367,7,7,4,11,1780,1911,618,1559,.396,147,429,.343,397,599,.663,986,297,242,124,459,595
30,18,12,.600,11,4,7,7,2279,2078,768,1726,.445,243,659,.369,500,713,.701,1136,546,243,74,451,650
32,16,16,.500,10,4,4,12,1972,1990,680,1458,.466,264,731,.361,348,511,.681,845,439,209,40,416,475
36,26,10,.722,16,2,6,5,2416,2147,868,1953,.444,212,607,.349,468,664,.705,1220,467,287,90,459,600
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,16,16,.500,9,6,4,7,1973,1953,719,1647,.437,157,453,.347,378,537,.704,972,369,186,113,425,586
30,11,19,.367,7,5,3,13,2030,2113,692,1599,.433,207,579,.358,439,633,.694,960,375,160,64,395,568
30,13,17,.433,7,7,5,10,2024,2040,749,1676,.447,122,413,.295,404,597,.677,1083,380,173,90,441,484
33,16,17,.485,11,3,4,10,2164,2119,771,1667,.463,188,540,.348,434,613,.708,1163,421,187,156,549,584
29,15,14,.517,13,3,2,11,1733,1805,626,1518,.412,121,388,.312,360,522,.690,968,349,253,65,495,556
32,17,15,.531,10,6,4,7,2376,2331,853,1942,.439,201,608,.331,469,653,.718,1082,415,276,110,394,639
35,27,8,.771,17,0,9,4,2709,2462,1007,2157,.467,184,558,.330,511,769,.664,1273,534,309,159,462,521
33,20,13,.606,11,5,6,7,2301,2204,831,1768,.470,149,403,.370,490,737,.665,1246,444,151,173,449,566
31,17,14,.548,10,4,5,8,2166,2092,792,1729,.458,142,459,.309,440,655,.672,1232,431,198,106,556,522
30,9,21,.300,7,4,1,16,1812,2055,650,1606,.405,163,516,.316,349,528,.661,1028,377,183,126,472,501
31,21,10,.677,16,3,5,6,2425,2209,891,1986,.449,215,579,.371,428,670,.639,1114,341,284,155,421,584
33,13,20,.394,10,3,1,15,2280,2346,810,1837,.441,218,636,.343,442,631,.700,1130,390,151,50,426,601
31,9,22,.290,7,7,1,12,1830,2002,663,1660,.399,157,528,.297,347,580,.598,1098,385,162,84,389,551
30,3,27,.100,2,11,0,15,2035,2416,726,1689,.430,150,463,.324,433,621,.697,1010,338,166,101,459,509
30,13,17,.433,9,4,4,12,2127,2007,797,1707,.467,180,524,.344,353,551,.641,1087,448,200,130,429,586
35,22,13,.629,15,2,2,8,2397,2224,872,1843,.473,129,396,.326,524,778,.674,1247,438,224,165,487,584
30,10,20,.333,0,0,2,11,2116,2292,771,1746,.442,208,591,.352,366,535,.684,976,404,220,101,258,586
31,13,18,.419,8,6,5,8,1966,2037,668,1596,.419,192,510,.376,438,607,.722,992,400,194,73,463,661
30,9,21,.300,9,8,0,12,1937,2047,710,1629,.436,182,507,.359,335,521,.643,1056,334,180,108,447,533
32,15,17,.469,11,6,1,8,2136,2133,763,1761,.433,109,358,.304,501,689,.727,1088,337,148,60,320,595
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,11,20,.355,8,6,2,13,2017,2114,697,1510,.462,139,375,.371,484,608,.796,936,422,184,32,464,582
31,8,23,.258,6,7,2,13,1957,2173,688,1694,.406,162,501,.323,419,640,.655,1151,329,175,76,526,516
30,15,15,.500,8,6,7,7,2103,2135,773,1709,.452,135,429,.315,422,632,.668,1162,442,191,144,511,632
30,10,20,.333,6,6,4,14,1970,2128,677,1630,.415,263,723,.364,353,548,.644,979,376,176,128,475,627
34,16,18,.471,13,8,1,10,2242,2298,819,1923,.426,140,469,.299,464,715,.649,1258,408,246,123,503,621
34,20,14,.588,15,4,4,9,2488,2332,891,1936,.460,249,649,.384,457,648,.705,1093,510,227,79,428,564
32,24,8,.750,13,0,6,7,2099,1795,786,1795,.438,177,561,.316,350,539,.649,1126,421,200,100,384,582
30,13,17,.433,10,4,3,12,1989,2058,701,1827,.384,237,762,.311,350,549,.638,1124,310,215,104,431,566
30,16,14,.533,7,7,9,6,1951,1828,684,1658,.413,175,500,.350,408,601,.679,1054,295,258,78,391,575
38,28,10,.737,16,3,5,5,3046,2725,1110,2277,.487,256,743,.345,570,884,.645,1505,687,296,194,583,580
34,22,12,.647,9,2,9,8,2333,2158,846,1908,.443,258,703,.367,383,547,.700,1248,527,189,141,426,581
32,22,10,.688,12,3,9,6,2523,2242,900,1997,.451,249,745,.334,474,643,.737,1178,467,267,89,409,599
30,12,18,.400,8,6,4,12,2185,2353,785,1709,.459,146,437,.334,469,683,.687,1064,424,191,109,470,610
30,12,18,.400,8,7,4,11,2209,2189,801,1823,.439,208,567,.367,399,589,.677,1105,405,263,160,475,625
34,21,13,.618,10,5,6,5,2665,2465,957,2105,.455,229,728,.315,522,772,.676,1316,554,225,124,452,647
33,18,15,.545,11,3,6,11,2255,2228,769,1826,.421,176,573,.307,541,792,.683,1242,418,281,132,564,638
34,24,10,.706,16,2,5,5,2440,2281,822,1831,.449,202,560,.361,594,856,.694,1249,427,164,133,432,585
30,16,14,.533,9,2,7,10,2341,2223,830,1761,.471,203,601,.338,478,637,.750,1076,455,206,68,412,594
31,14,17,.452,10,5,3,10,1978,1988,681,1592,.428,180,553,.325,436,595,.733,962,388,178,33,420,567
37,23,14,.622,13,5,8,6,2788,2660,931,2200,.423,195,625,.312,731,1021,.716,1396,504,250,148,458,812
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
27,10,17,.370,7,4,2,10,1763,1871,642,1404,.457,119,399,.298,360,578,.623,856,424,154,48,423,507
32,19,13,.594,11,3,6,9,2404,2285,805,1906,.422,268,778,.344,526,743,.708,1131,376,296,72,448,601
32,7,25,.219,4,6,3,16,2063,2354,764,1673,.457,123,382,.322,412,670,.615,989,378,240,74,566,702
30,14,16,.467,11,4,2,10,2445,2319,865,1919,.451,235,637,.369,480,723,.664,1169,464,234,81,497,780
33,14,19,.424,12,6,0,11,2563,2607,896,1984,.452,236,630,.375,535,732,.731,1185,504,185,94,478,719
35,23,12,.657,13,2,4,6,2532,2296,917,2063,.444,166,566,.293,532,797,.668,1359,448,217,187,442,674
32,7,25,.219,6,7,0,16,1893,2173,692,1641,.422,149,498,.299,360,551,.653,1058,347,208,102,548,586
34,12,22,.353,6,8,4,12,2213,2399,776,1930,.402,213,685,.311,448,671,.668,1186,442,246,156,441,614
32,19,13,.594,11,3,6,8,2500,2470,904,1962,.461,274,732,.374,418,599,.698,1145,451,241,122,396,523
31,14,17,.452,10,6,2,11,2017,2055,719,1700,.423,151,456,.331,428,632,.677,1028,413,235,98,425,597
36,25,11,.694,15,2,7,7,2405,2210,840,1880,.447,195,576,.339,530,762,.696,1355,394,194,171,510,664
35,26,9,.743,16,2,6,4,2642,2241,967,1973,.490,262,656,.399,446,616,.724,1151,541,292,110,440,598
35,30,5,.857,17,0,11,3,2534,2169,899,1813,.496,222,563,.394,514,695,.740,1202,566,168,88,393,539
28,17,11,.607,12,4,4,7,1981,1787,673,1442,.467,199,506,.393,436,567,.769,971,370,118,74,355,509
34,24,10,.706,13,2,6,7,2421,2195,819,1727,.474,242,655,.369,541,693,.781,1193,458,171,166,469,632
31,9,22,.290,8,6,1,12,1900,2031,678,1611,.421,205,624,.329,339,554,.612,971,403,235,52,466,641
31,19,12,.613,14,4,3,7,2185,2033,740,1642,.451,190,561,.339,515,719,.716,1144,389,174,137,466,549
33,24,9,.727,12,3,10,5,2533,2222,883,1834,.481,186,504,.369,581,831,.699,1165,518,258,165,483,625
38,30,8,.789,16,2,8,3,2919,2560,990,2193,.451,247,701,.352,692,919,.753,1449,551,300,128,505,735
34,24,10,.706,16,1,7,6,2440,2156,866,1878,.461,222,601,.369,486,689,.705,1152,469,257,155,431,654
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
32,24,8,.750,13,3,10,5,3002,2737,1009,2279,.443,438,1224,.358,546,742,.736,1068,581,453,105,449,598
34,19,15,.559,10,6,5,6,2470,2405,845,1934,.437,207,615,.337,573,791,.724,1257,454,221,155,458,620
28,10,18,.357,9,8,1,9,1960,2029,701,1682,.417,156,494,.316,402,543,.740,1030,348,179,112,413,531
30,16,14,.533,8,6,8,8,2021,2049,717,1607,.446,221,576,.384,366,585,.626,1000,417,211,96,451,531
31,24,7,.774,14,1,7,4,2510,2193,906,1849,.490,126,394,.320,572,804,.711,1262,405,258,176,492,584
33,17,16,.515,9,7,5,7,1954,1829,715,1649,.434,181,525,.345,343,446,.769,1076,410,124,142,376,496
35,26,9,.743,18,1,6,4,2750,2431,977,2136,.457,146,433,.337,650,929,.700,1437,458,259,95,515,683
31,21,10,.677,10,3,9,6,2175,2055,739,1566,.472,237,631,.376,460,630,.730,997,375,183,114,445,596
35,23,12,.657,11,3,7,5,2521,2163,886,2067,.429,231,703,.329,518,742,.698,1340,530,233,159,420,661
31,16,15,.516,11,2,3,11,2293,2251,840,1905,.441,233,663,.351,380,599,.634,1121,385,298,85,444,700
29,9,20,.310,5,6,3,12,1701,1889,615,1416,.434,163,408,.400,308,434,.710,795,357,163,51,369,512
34,25,9,.735,13,0,7,7,2454,2278,871,1929,.452,266,714,.373,446,647,.689,1251,454,193,111,452,587
31,10,21,.323,7,7,3,10,1918,2004,634,1612,.393,198,636,.311,452,645,.701,1061,338,167,97,412,641
34,17,17,.500,14,3,1,11,2138,2124,771,1762,.438,188,583,.322,408,595,.686,1154,453,216,113,474,615
30,10,20,.333,7,8,2,11,1844,1903,658,1592,.413,202,653,.309,326,501,.651,1023,409,180,69,425,503
30,8,22,.267,3,8,5,11,1741,2022,639,1646,.388,134,479,.280,329,578,.569,1010,283,247,83,527,599
30,11,19,.367,7,6,4,12,1833,1991,695,1712,.406,142,500,.284,301,448,.672,1031,332,197,118,403,547
33,20,13,.606,13,3,4,7,2106,1948,735,1686,.436,213,592,.360,423,583,.726,1020,393,163,86,330,532
30,16,14,.533,8,4,8,9,2065,2070,727,1602,.454,188,518,.363,423,614,.689,1022,398,187,44,404,468
33,20,13,.606,11,4,5,9,1995,1897,673,1644,.409,188,582,.323,461,667,.691,1043,373,200,79,408,611
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
33,19,14,.576,12,4,3,9,2471,2450,796,1721,.463,211,586,.360,668,919,.727,1188,413,157,118,470,571
35,27,8,.771,14,1,7,4,2508,2165,847,1846,.459,239,607,.394,575,851,.676,1378,464,185,178,511,653
28,13,15,.464,8,3,5,12,1772,1784,646,1448,.446,100,338,.296,380,574,.662,935,374,194,88,434,528
30,11,19,.367,7,9,4,10,1981,2067,709,1712,.414,165,490,.337,398,612,.650,1066,390,168,104,401,585
